date,year,month,day,store,eff_year,eff_month,eff_day,eff_store,lambda,clients
2023-01-01,2023,Enero,Domingo,Córdoba,1000,1000,1000,3000,6000,5899
2023-01-01,2023,Enero,Domingo,La Floresta,1000,1000,1000,2000,5000,5087
2023-01-01,2023,Enero,Domingo,Los Cedros,1000,1000,1000,3000,6000,5878
2023-01-01,2023,Enero,Domingo,Palermo,1000,1000,1000,1000,4000,4051
2023-01-01,2023,Enero,Domingo,Santa Ana,1000,1000,1000,5000,8000,8076
2023-01-02,2023,Enero,Lunes,Córdoba,1000,1000,2000,3000,7000,7089
2023-01-02,2023,Enero,Lunes,La Floresta,1000,1000,2000,2000,6000,6032
2023-01-02,2023,Enero,Lunes,Los Cedros,1000,1000,2000,3000,7000,6987
2023-01-02,2023,Enero,Lunes,Palermo,1000,1000,2000,1000,5000,5011
2023-01-02,2023,Enero,Lunes,Santa Ana,1000,1000,2000,5000,9000,8965
2023-01-03,2023,Enero,Martes,Córdoba,1000,1000,3000,3000,8000,7954
2023-01-03,2023,Enero,Martes,La Floresta,1000,1000,3000,2000,7000,7072
2023-01-03,2023,Enero,Martes,Los Cedros,1000,1000,3000,3000,8000,7992
2023-01-03,2023,Enero,Martes,Palermo,1000,1000,3000,1000,6000,5910
2023-01-03,2023,Enero,Martes,Santa Ana,1000,1000,3000,5000,10000,10079
2023-01-04,2023,Enero,Miércoles,Córdoba,1000,1000,3500,3000,8500,8555
2023-01-04,2023,Enero,Miércoles,La Floresta,1000,1000,3500,2000,7500,7388
2023-01-04,2023,Enero,Miércoles,Los Cedros,1000,1000,3500,3000,8500,8422
2023-01-04,2023,Enero,Miércoles,Palermo,1000,1000,3500,1000,6500,6486
2023-01-04,2023,Enero,Miércoles,Santa Ana,1000,1000,3500,5000,10500,10491
2023-01-05,2023,Enero,Jueves,Córdoba,1000,1000,3000,3000,8000,8080
2023-01-05,2023,Enero,Jueves,La Floresta,1000,1000,3000,2000,7000,6973
2023-01-05,2023,Enero,Jueves,Los Cedros,1000,1000,3000,3000,8000,8048
2023-01-05,2023,Enero,Jueves,Palermo,1000,1000,3000,1000,6000,5926
2023-01-05,2023,Enero,Jueves,Santa Ana,1000,1000,3000,5000,10000,10109
2023-01-06,2023,Enero,Viernes,Córdoba,1000,1000,2000,3000,7000,7015
2023-01-06,2023,Enero,Viernes,La Floresta,1000,1000,2000,2000,6000,5991
2023-01-06,2023,Enero,Viernes,Los Cedros,1000,1000,2000,3000,7000,6896
2023-01-06,2023,Enero,Viernes,Palermo,1000,1000,2000,1000,5000,5035
2023-01-06,2023,Enero,Viernes,Santa Ana,1000,1000,2000,5000,9000,9058
2023-01-07,2023,Enero,Sábado,Córdoba,1000,1000,1000,3000,6000,5840
2023-01-07,2023,Enero,Sábado,La Floresta,1000,1000,1000,2000,5000,5012
2023-01-07,2023,Enero,Sábado,Los Cedros,1000,1000,1000,3000,6000,5931
2023-01-07,2023,Enero,Sábado,Palermo,1000,1000,1000,1000,4000,4076
